,count
villain,22
fine,22
sense,21
skin,21
trick,21
gat,21
late,21
perfect,21
fool,21
walkin,21
means,21
couldn,21
bed,21
funny,21
raise,21
kind,21
deal,21
loud,21
bag,21
nice,21
number,21
fame,21
pray,21
cock,21
welcome,21
bangin,21
dna,21
send,21
split,21
class,21
taking,21
crenshaw,21
studio,21
gimme,21
yes,20
fake,20
chain,20
bird,20
water,20
fell,20
road,20
figure,20
ends,20
locked,20
stuck,20
gauge,20
boogie,20
having,20
swing,20
boss,20
eye,20
ground,20
born,20
piece,20
stars,20
shine,20
morning,20
creep,20
thug,20
keys,20
tv,20
og,20
hoppin,20
clean,20
tomorrow,20
hoe,20
cops,20
smoking,20
conscience,20
past,20
middle,20
flippin,19
cup,19
talking,19
smile,19
known,19
candy,19
diamonds,19
crime,19
chronic,19
ol,19
rolling,19
que,19
guilty,19
evil,19
problems,19
grow,19
slip,19
kanye,19
ak,19
team,19
wet,19
soft,19
zone,19
raw,19
earth,19
single,19
anybody,19
playing,19
glock,18
holdin,18
riding,18
albums,18
bullshit,18
balls,18
worth,18
banks,18
grabbed,18
mile,18
map,18
cali,18
sean,18
showin,18
ashes,18
bags,18
combs,18
lock,18
lotto,18
quit,18
dup,18
rapper,18
hide,18
friend,18
criminal,18
aint,18
nu,18
bastard,18
law,18
key,18
sauce,18
rider,18
oogie,18
choke,18
itch,18
blew,18
notice,18
curse,18
stare,18
forth,18
happy,18
jimmy,18
flash,18
tricks,18
seeing,18
dub,18
honey,18
crowds,18
thriller,18
floor,17
demo,17
bought,17
safe,17
kelly,17
bullets,17
shows,17
turned,17
breath,17
loved,17
champagne,17
seats,17
wonder,17
millions,17
pockets,17
detroit,17
driving,17
neighborhood,17
movin,17
calm,17
whip,17
lips,17
looked,17
ok,17
wrapped,17
miss,17
church,17
pretty,17
bodies,17
chase,17
sippin,17
attitude,17
funk,17
leavin,17
smell,17
aww,17
table,17
grip,17
ggas,17
dirt,17
faith,17
worry,17
homeboys,17
shop,17
add,17
switch,17
thoughts,17
kinda,17
waitin,17
player,17
represent,16
watching,16
stupid,16
stunt,16
speakers,16
war,16
jesus,16
small,16
order,16
trippin,16
win,16
magic,16
pulled,16
40,16
grand,16
sweet,16
drama,16
plate,16
press,16
unless,16
lie,16
rhyme,16
kong,16
venom,16
limp,16
spray,16
raps,16
bat,16
screaming,16
bye,16
lead,16
sing,16
loose,16
lowrider,16
xzibit,16
chance,16
ways,16
leather,16
tight,16
weak,16
dum,16
draw,16
sitting,15
central,15
crowd,15
lift,15
changed,15
games,15
harder,15
land,15
squeeze,15
humble,15
enemies,15
hanging,15
smokin,15
fired,15
jones,15
finally,15
brooklyn,15
box,15
spitting,15
bow,15
jungle,15
kendrick,15
fault,15
bottles,15
grew,15
sign,15
played,15
guys,15
tone,15
strapped,15
product,15
carry,15
dumb,15
tahoe,15
babies,15
blaze,15
saw,15
screamin,15
questions,15
share,15
mental,15
mention,15
secret,15
moon,15
wrote,15
mc,15
addicted,15
zero,15
ye,14
brothers,14
fag,14
ran,14
thats,14
chillin,14
standin,14
children,14
puffy,14
works,14
acting,14
pad,14
